category,filename,source,md5,score,laplacian,bright_ratio,skin_ratio,dhash,method,issues
01-Coastal-Scenery,lake-tekapo13_3.jpg,desktop-kaikoura/lake-tekapo13_3.jpg,4ebe55fef8f787c70e822a8bbb1b0d67,28.25,53.5,0.013,0.000,010110000111110100001111110001000110110001001110100001100111100101111100001001111100110011111110100101111111000001110111000011111111000011111111,default-coastal,
01-Coastal-Scenery,lake-tekapo11.png,desktop-kaikoura/lake-tekapo11.png,acc325e6f8e4945cc9a8c9f9d3730783,25.34,65.5,0.016,0.000,110010100011111000010011110001100111100000110011100000111010001100111110011010111111110010111111100101111111001001111011000001111010000011111111,default-coastal,
01-Coastal-Scenery,kaikkoura-coast15.JPG,desktop-kaikoura/kaikkoura-coast15.JPG,fa5cce706097303dea059dc58d64afe0,22.75,39.1,0.007,0.010,000001001001000001001001001000010010000010000010110100010011000111011111001000000100111100101100011000111110000000011110001000111010011000111000,folder-coast,blurred
01-Coastal-Scenery,kaikkoura-coast14.JPG,desktop-kaikoura/kaikkoura-coast14.JPG,fa67d1e03a3c9b9ee29eb3327038d7f3,21.77,26.6,0.007,0.011,100000100010000001000100100010100010010011001000110110010001001001001111011100000010111100110011111000111110000000011110100000111010011000110010,folder-coast,blurred
01-Coastal-Scenery,lake-tekapo16.jpg,desktop-kaikoura/lake-tekapo16.HEIC,5ecb0c02922fa53eddea71cb8ea06b4b,19.72,14.1,0.016,0.000,101110001111100111100110011001000111100101101001100010100100010001110010110000010011000000001100000010011111000011001011001011000011001100001000,default-coastal,blurred
01-Coastal-Scenery,lake-tekapo18.jpg,desktop-kaikoura/lake-tekapo18.HEIC,aed10eb1d9c5e1df323582aa6e390466,19.53,13.8,0.017,0.000,100000010001000000100100000001001000010110000011000000000011100000011011011000111110010010111010010011110011000111110011011100111100110001111110,default-coastal,blurred
01-Coastal-Scenery,lake-tekapo12.jpeg,desktop-kaikoura/lake-tekapo12.jpeg,92358a5eb6fb9cb12b87cbdc363cc084,10.07,22.0,0.101,0.003,111011000000011101010000111101011001110001011001001001011001011001111000110000111100100100011000101101011010100110011011001000101010111100110101,default-coastal,blurred
02-Kaikoura-Peninsula,kaikkoura-peninsula125.jpg,desktop-kaikoura/kaikkoura-peninsula125.HEIC,bbc3c66d896f95c8a5cb8b713b57baee,199.84,2031.1,0.193,0.001,000000000000000000000000000000000000000000000000000000000000000000110010000000110000010100010100010111010010010000010011010001001001101011001001,folder-peninsula,
02-Kaikoura-Peninsula,kaikkoura-peninsula137.jpg,desktop-kaikoura/kaikkoura-peninsula137.DNG,8aaac37b1a01ba02a798aef6eaa21776,171.67,1053.6,0.068,0.124,000010111100000011011100001010010001001010000001011110000010001100101010011101001101000100000001001011101001100110000101110010000110111000100010,folder-peninsula,
02-Kaikoura-Peninsula,kaikkoura-peninsula140.jpg,desktop-kaikoura/kaikkoura-peninsula140.DNG,b7fc27c7787f30dff3b51e47a53bd7cd,138.44,830.8,0.114,0.029,100011110000100011010000000000100011001000100110101010010101010111010110011110010110100101000110110100011110101100011110101101111110010111111101,folder-peninsula,
02-Kaikoura-Peninsula,kaikkoura-peninsula139.jpg,desktop-kaikoura/kaikkoura-peninsula139.DNG,d169a33a663117a15003d61f0d6a97f2,115.75,593.4,0.145,0.015,111100000100100100011000100000001101000011111001011001001011011001001011001101001011101011001010000000011010000000100001011001001000011001000100,folder-peninsula,
02-Kaikoura-Peninsula,kaikkoura-peninsula127.JPG,desktop-kaikoura/kaikkoura-peninsula127.JPG,eac371b8cf17d8a696c204e6192027b8,107.50,224.6,0.068,0.150,000001100000000000000101000000010000000001100000111111010011111110011001111110001101101110011010000111010001101010000001010000011111000011011110,folder-peninsula,
02-Kaikoura-Peninsula,kaikkoura-peninsula112.jpg,desktop-kaikoura/kaikkoura-peninsula112.HEIC,a0e677b65e8ad19f2ae3d947b179acc0,105.32,377.6,0.088,0.072,111100000000111111111000001111111111111100010000011110100000111011101000110100010000101000000100110011001011000010100011110010010001111001101000,folder-peninsula,
02-Kaikoura-Peninsula,kaikkoura-peninsula123.JPG,desktop-kaikoura/kaikkoura-peninsula123.JPG,ca76dd3b030f80b142cf1159e0836037,102.72,394.9,0.033,0.183,010111111111110111111111111111111111110100101111011010000001100101111001100010100011111000000011100000101001101100101010111110001111010001110010,folder-peninsula,
02-Kaikoura-Peninsula,kaikkoura-peninsula141.jpg,desktop-kaikoura/kaikkoura-peninsula141.DNG,7276d115c71861bb9ac22f176167b4c4,98.54,462.6,0.201,0.060,000100100000000000000100100100000011000011000011101001001111100010001111000001010111010101111101110001111100110011011110001011001100001111000111,folder-peninsula,
02-Kaikoura-Peninsula,kaikkoura-peninsula121.JPG,desktop-kaikoura/kaikkoura-peninsula121.JPG,1dd673f35cf1427d993fbd0c941242bb,96.60,188.2,0.039,0.322,000000000000000000000000000000000000001001000000000000001111000000100111000100011011001110011010011000011010001010101111101110000000110000101000,folder-peninsula,
02-Kaikoura-Peninsula,kaikkoura-peninsula117.jpg,desktop-kaikoura/kaikkoura-peninsula117.HEIC,3a2b8bec2b967151e0791fac66ce0a64,96.52,211.0,0.050,0.016,111100100111111100010000111111101010111110100000110001110011000010010001001010110001101011000110100110110000011110010000111010010011100011101111,folder-peninsula,
02-Kaikoura-Peninsula,kaikkoura-peninsula131.jpg,desktop-kaikoura/kaikkoura-peninsula131.HEIC,0bccb1fdce58b20c4766f17d2a953dc0,91.25,521.6,0.091,0.107,000000000000000000000000000000000000000000000000000000000000010000111000110000110100001010111011001110110111111000111001010100000000000010110000,folder-peninsula,
02-Kaikoura-Peninsula,kaikkoura-peninsula128.JPG,desktop-kaikoura/kaikkoura-peninsula128.JPG,0eb244b22c8d5dadef8af4d11d926550,90.30,421.8,0.033,0.019,001110000000000001100100000000000100001100110001101100110101011001110011001001011001101111000011101000000101000010101100110101010100101110010010,folder-peninsula,
02-Kaikoura-Peninsula,kaikkoura-peninsula132.jpg,desktop-kaikoura/kaikkoura-peninsula132.HEIC,05c2afd424422e1b7858a6c7fce6d109,89.86,411.6,0.240,0.009,001111011001011001110110110000111000110110011100100100011110110101100011110100101101011001110111101110111101110110110001001111001000111010100000,folder-peninsula,
02-Kaikoura-Peninsula,kaikkoura-peninsula142.JPG,desktop-kaikoura/kaikkoura-peninsula142.JPG,bbbcf7ba376f11724dd092b6d1956030,89.79,68.8,0.103,0.137,100101110100100101100000001011100100000111001111000111101011011011001101001111101101101011101100000111001100000111101110000011000110000100001101,folder-peninsula,
02-Kaikoura-Peninsula,kaikkoura-peninsula136.jpg,desktop-kaikoura/kaikkoura-peninsula136.DNG,b1eb8542f7f287fc5cba21b501fccf75,87.64,457.6,0.079,0.061,011111110100011110000011101100000111100011010111101100110011001010011110010110011011101000011101010000110010100010100000110011000100100110010000,folder-peninsula,
02-Kaikoura-Peninsula,kaikkoura-peninsula120.JPG,desktop-kaikoura/kaikkoura-peninsula120.JPG,e5ea078a59b95428b735772b989497a1,84.02,323.5,0.020,0.102,000001011010000101111100011010011010110010110011010011011110111101110111010110110001001100111101100001111001000010011001000000111001000000111001,folder-peninsula,
02-Kaikoura-Peninsula,kaikkoura-peninsula13.JPG,desktop-kaikoura/kaikkoura-peninsula13.JPG,ad88c9fb1b01b3845b700ffe1aa4eb0a,82.87,299.7,0.013,0.051,111111111111001000000000010000001000101011011001110100100101100111101010110011010011010100111011100001110010100000111110010001111000111111110011,folder-peninsula,
02-Kaikoura-Peninsula,kaikkoura-peninsula111.jpg,desktop-kaikoura/kaikkoura-peninsula111.HEIC,3eb402d7cc1e59a48e72d91c5075219d,82.68,508.8,0.154,0.011,111101111111111111111111111111001111110110111000000010011110110101100110011001001001110001010100111001101001110110101101100011010011110101001001,folder-peninsula,
02-Kaikoura-Peninsula,kaikkoura-peninsula14.JPG,desktop-kaikoura/kaikkoura-peninsula14.JPG,e176912acaa8d13b1c67ba67db8f0973,74.27,381.4,0.139,0.011,001111001101000101101011100100100011001001101011100010111010101010010101110011000000110111110001100101110000101001100001100110011110011111011001,folder-peninsula,
02-Kaikoura-Peninsula,kaikkoura-peninsula126.jpg,desktop-kaikoura/kaikkoura-peninsula126.HEIC,3086ec0d7ee566fe24740e21b3a249fd,73.71,248.9,0.056,0.003,001000000110000101011101000010001111111110001110000011100100000001100011001110000000011100001111111001000110000000011111011100000001001110000001,folder-peninsula,
03-Wildlife,wildlife-seal-colony-walk-01.jpg,photo-library/wildlife-seal-colony-walk-01.jpg,d15909ab65e71d23094fc12591a66619,197.08,2214.8,0.074,0.056,101101111111101111110111001101010110001111001111001010101111101000011010001100011100011001110000101111011010100011100010110110000111111100010001,exact,
03-Wildlife,wildlife-fur-seals-peninsula-01.jpg,photo-library/wildlife-fur-seals-peninsula-01.jpg,90dea6886e856e34e3a0b14963ad124b,151.07,912.5,0.063,0.039,110011111111111111111111111111111111011001111111100111010111100111010001011110001101110101101011001111101110011101110011010100100100100001010010,exact,
03-Wildlife,wildlife-fur-seal-coast-01.jpg,photo-library/wildlife-fur-seal-coast-01.jpg,ab065f2a127c03669d47b38cbb695b66,66.62,582.3,0.143,0.240,010111110111111111111111011110000110110000111010001100100001010101010011101010010001000100111100100100110100101001101001011110010001100010000001,exact,
03-Wildlife,kaikoura-seal-colony12.jpg,desktop-kaikoura/kaikoura-seal-colony12.HEIC,ee730da7fe8a9c21015ccb8b2d72938f,63.39,250.7,0.143,0.085,110011010111000111101110001111001101110011111011110100111000001100011100001110011011011100011111011010101111110111101100100001100100010000001010,folder-wildlife,
03-Wildlife,kaikoura-seal-colony11.jpg,desktop-kaikoura/kaikoura-seal-colony11.HEIC,a9873770b580afd57202b70a29fc3c1b,61.51,241.4,0.152,0.007,111000001111110100000111100000110101001100110100010010010110011011100011110001101000000101100101110111001100110001101110011100110110010010001101,folder-wildlife,
03-Wildlife,kaikoura-seal-colony13.jpg,desktop-kaikoura/kaikoura-seal-colony13.HEIC,49c07baf854ad0ed1ce593505188c945,41.06,93.8,0.224,0.031,110001011001100110000111010000011100010110010111001110110000000111110001010100001110100110000100111000111000001010011111100010100011110100011110,folder-wildlife,
03-Wildlife,kaikoura-seal-colony14.jpg,desktop-kaikoura/kaikoura-seal-colony14.HEIC,772ab52196bda50650b8d0434ab39c6c,14.43,20.5,0.362,0.446,001100000110100100010100100000011101001001000110100000000011100111010011010011000010000001110110100011100101100100001111011100100011011001111000,folder-wildlife,blurred
04-Whale-Watching,kaikoura6.jpg,site-kaikoura/kaikoura6.jpg,d2a36f60c83d466fcc7a14aa6bd26b2a,177.83,2021.5,0.016,0.010,010000001011011010100110100000101001110001000000110110000000010011111110011001010000001010000100000000111011010101110011011111110001100110100110,exact,
04-Whale-Watching,whale-watching-aerial-01.jpg,photo-library/whale-watching-aerial-01.jpg,658ea4c22766dfd2ebdd104ce48c7905,21.48,63.1,0.013,0.000,010100000111110100001111110001000110110001001110100001100111100101111100001001111100110011111110100101111111000011110111000011111111000011111111,exact,
04-Whale-Watching,whale-watching-aerial-02.jpg,photo-library/whale-watching-aerial-02.jpg,790db7f7503ff0412478fcbff1a9db1e,19.41,50.5,0.022,0.000,111000000100111000001000110010001100111000011000111001000100001001100110010111000110111000011111110100110001101000000011000000001110000000011110,exact,
05-Flight-Experience,kaikoura9.jpg,site-kaikoura/kaikoura9.jpg,125b1de20ecb99bc67e2de52030abb6b,62.41,463.5,0.048,0.164,000100101111000010111111000001111111000011111111111101011011001000111001101001100010100001100001110001100011101111110000000100000111000011000011,exact,
06-Fishing-Experience,fishing-boat-docked-01.jpg,photo-library/fishing-boat-docked-01.jpg,d10d013d221fa96ed8e4787128c4d8cc,75.18,785.3,0.047,0.069,101111000001110011000010110011110100010100010101000001010101000001010101010001111011000100101000000001101100100111111101000000001001000001100101,exact,
07-Kaikoura-Town,kaikoura-03.jpg,site-routes-kaikoura/kaikoura-03.jpg,12c795cd4ff0c903b7f8cbe84b8dc3dc,98.79,805.0,0.217,0.040,101011000001010011000011000111011000000101011010010100110100110100101001010101101000110011111001110111111000111011111000101011111000111011111010,exact,
07-Kaikoura-Town,kaikoura3.jpg,site-kaikoura/kaikoura3.jpg,f72afcbdf951cc09ba6b428becfcade6,84.44,1035.9,0.137,0.007,111000000000100100011000100000001101000011111001011001001011011001001011001101001011101011001010001000011010000001100001011001001000011001000100,exact,
08-Guest-Experience,lake-tekapo12.png,desktop-kaikoura/lake-tekapo12.png,294cdeb77917572af2579c2d32caa7ae,152.53,1462.7,0.242,0.532,010000110001000001001010100000110101001001111110001001001011011001010111011000111001001010111001101000110101100000100111000100101111001111111111,vision-skin,
08-Guest-Experience,lake-tekapo119.jpeg,desktop-kaikoura/lake-tekapo119.jpeg,69d17066622181254e9298ea931a9a21,126.84,569.3,0.218,0.272,001011101000010110001111010001001100110101001100010111010100111010011010111000110110111001110100110011010101011000111110000010000111010001100110,vision-skin,
08-Guest-Experience,IMG_2678.JPG,desktop-kaikoura/IMG_2678.JPG,ec6c755ecc973a4b6ba0f9dd7346c8c4,116.15,224.9,0.033,0.206,101011010001100111110010100010100100001001101010001111100110011111100101100101000010101111000011001001110000001010111001011010011100011001111011,vision-skin,
08-Guest-Experience,lake-tekapo13.JPG,desktop-kaikoura/lake-tekapo13.JPG,267266c33e3c8e59fa0ad4a5c1e587cf,114.67,132.4,0.225,0.568,000000000010001000011011111100010101101100110000100001111000001101111101001000101110001000110011011000111011010000101110000111111111001110111000,vision-skin,
08-Guest-Experience,IMG_7452.jpeg,desktop-kaikoura/IMG_7452.jpeg,6678a0888f6f8a3ff195e3cdc323ae3e,81.59,345.2,0.210,0.233,000000101111111001011000111100000010110100110000100001101100000101100110100011010100100001110111000111100110001101000111110110000110101110100110,vision-skin,
08-Guest-Experience,IMG_2749.jpg,desktop-kaikoura/IMG_2749.HEIC,f1e127c17d0b7d848ace43d39c18c35a,60.53,45.5,0.223,0.290,001011001101011011001100010011000111011001100011100011101001101001001100101011101101110001111001001111000011100110110100100110010100001110111111,vision-skin,
08-Guest-Experience,lake-tekapo15.JPG,desktop-kaikoura/lake-tekapo15.JPG,b3c24f5e9c149b42ddc98b1bf86c378b,52.63,115.9,0.242,0.192,011000010011000010011001001000011000011111001101000010101101010110101011011111001111001101000101001000010111001010010111001100101001010100101011,vision-skin,
08-Guest-Experience,lake-tekapo113.jpeg,desktop-kaikoura/lake-tekapo113.jpeg,c92e3d670d83be112791a898cd7794b6,12.09,36.5,0.365,0.406,100010101001110101000000110000011100100101110010000110001111001110011111000101000111000101011111110001101110111000101110101100011100111111110000,vision-skin,blurred
08-Guest-Experience,lake-tekapo114.jpeg,desktop-kaikoura/lake-tekapo114.jpeg,c6c3cae113d1d2703d07957151367391,10.05,36.4,0.343,0.348,110000111111011011110001101100001111010000110011110000100010100101000110100100011101011100001101011000110010010010111010110100111001110000111011,vision-skin,blurred
09-Photography-Showcase,IMG_1600.jpg,desktop-kaikoura/IMG_1600.DNG,14ac8b45f5e142b7a86ca87b613e1460,389.14,3986.4,0.225,0.023,101001111010111001001010111000011011101101100011111111110011101110000000111001111100011100111110001101110011101111100011010111000011011111100011,vision-showcase,
09-Photography-Showcase,kaikoura10.jpg,site-kaikoura/kaikoura10.jpg,ee3f8949108058cdbf799af9cba4bb1a,252.60,2781.4,0.194,0.442,111100010000111110000000010111011000000101001110011100011000000111011001011100000001110011010011100100111011001001010011101011000110011100000110,exact,
09-Photography-Showcase,IMG_7190.JPG,desktop-kaikoura/IMG_7190.JPG,331fc449dc6b4f952a072acc381e7d9d,231.18,2315.1,0.121,0.119,110010011100010000110110000010111000100010011001001110011001001110010010000100010011000101000100010001100000000010100100000110100010101000010010,vision-showcase,
09-Photography-Showcase,kaikkoura-flight12.jpg,desktop-kaikoura/kaikkoura-flight12.HEIC,a5b8c3768ff7a051b22d5cf93ea964db,168.60,1189.1,0.102,0.015,000000000000000000000000000000000000000000000000111101100011001001100110001001000011111001001111101000111111111000000011111100100101011110100111,vision-showcase,
09-Photography-Showcase,IMG_4786.jpeg,desktop-kaikoura/IMG_4786.jpeg,3993831ec1c91f22bac6818544f44401,128.65,615.9,0.133,0.121,101110111000100100101101110100001101111000110100110101010110111100100110110100010111010101010011100011010011111000100110001001100010001001011000,vision-showcase,
09-Photography-Showcase,kaikkoura-flight111.jpeg,desktop-kaikoura/kaikkoura-flight111.jpeg,cc243409a2d1e56ffab0f67a09782d8e,111.25,240.6,0.062,0.171,000000011111000101111111010111111111111111111111111111111011101001111011001001111001001101100010100000100110111000111100011101111010111000000011,vision-showcase,
09-Photography-Showcase,IMG_5728.jpg,desktop-kaikoura/IMG_5728.HEIC,2408bc2b8f3a8c0456c6a70189f7cd35,110.57,499.1,0.022,0.161,000100000000000010000000000001110011000001110001100001011000001101111111100110010011101010010011011010010011000010001101010101001010010100110011,vision-showcase,
09-Photography-Showcase,lake-tekapo120.JPG,desktop-kaikoura/lake-tekapo120.JPG,b16f3d33589ecc28e225995a3e68352a,104.86,147.5,0.021,0.123,111000000000111100100000100010110000001110010000001001011000000111101000001110010010001110010010100101011010000001011110000000011100000001011110,vision-showcase,
09-Photography-Showcase,kaikkoura-flight110.jpeg,desktop-kaikoura/kaikkoura-flight110.jpeg,9d330ab5436b8f725292aadad00737fa,102.30,336.3,0.086,0.036,000001011111000010111111000001111111000111111111111101011011001000111001101001100010100001100001110001100011101111110000000100000111000011010011,vision-showcase,
09-Photography-Showcase,lake-tekapo118.jpeg,desktop-kaikoura/lake-tekapo118.jpeg,127c80c10b4528399f4c02d953db890d,94.82,230.7,0.184,0.159,010010000110010101010001001011000011101001011000110110001100001010100001000110110011000110110011000010100011000011101011000111011110010111001010,vision-showcase,
09-Photography-Showcase,kaikkoura-flight18.jpeg,desktop-kaikoura/kaikkoura-flight18.jpeg,178c01fdfa8560c190a427f7cbeed271,93.76,222.2,0.081,0.025,010000000000110110111010101010000100001110000000000111100011010011110111001100111110110110011111101100011101111101000001111110000010011101001110,vision-showcase,
09-Photography-Showcase,lake-tekapo19.jpeg,desktop-kaikoura/lake-tekapo19.jpeg,b46a07a98e46b97fb90f147fd34880d4,93.38,221.6,0.194,0.166,111010010110010100110000001011010011101011011000110111001001001010100101000110110011000010110011000010110011000011110011000011001111010111001010,vision-showcase,
09-Photography-Showcase,IMG_8395_2.JPG,desktop-kaikoura/IMG_8395_2.JPG,861dc195ea78caa154d8b228e3298aa8,93.31,568.1,0.099,0.060,110000110110111000000010111000001111111000011100100100110110000100111001001110101000001110110000001110000011001111111111010111101111110010101001,vision-showcase,
09-Photography-Showcase,lake-tekapo18.jpeg,desktop-kaikoura/lake-tekapo18.jpeg,e51e6196f52b2752f3f3493fdda35e52,91.28,236.5,0.195,0.125,011100011101001111101101110001101101100011001101100001001101000001100101000111111001100111010101101101100101100110111101001100001000001111110000,vision-showcase,
09-Photography-Showcase,lake-tekapo17.JPG,desktop-kaikoura/lake-tekapo17.JPG,eea364d6d9be5c07c2b942465d69979b,90.46,172.6,0.047,0.014,111110110001011101001110011100101101110010100111110010111111010010111101110010111110110010110100001010011100000000111110000010111111110100101100,vision-showcase,
09-Photography-Showcase,lake-tekapo13.PNG,desktop-kaikoura/lake-tekapo13.PNG,9342e1b6de7cea2f914659a9f92d6241,89.30,913.0,0.133,0.131,101100001110001111000110001101110110111011001110100000100111000010101010000010100100010010111100100111001010100100110010100010110100100100100000,vision-showcase,
09-Photography-Showcase,IMG_1512.jpg,desktop-kaikoura/IMG_1512.DNG,af58c2dfa445c9ded090ae245ee8a8c8,88.09,460.5,0.077,0.000,111111110011111100000111100111011111111001010110000101110110001000010110011001010101111001100100001110111010100011110101100010110111000011111110,vision-showcase,
09-Photography-Showcase,lake-tekapo115.jpeg,desktop-kaikoura/lake-tekapo115.jpeg,eb73fa81efd764e6011f0d8b7290f340,80.91,250.9,0.207,0.118,111000011101001111001101011010101101110010101101101001101101000001100111000011101001100111011101100101100101100110111101101100001000001111100000,vision-showcase,
09-Photography-Showcase,kaikkoura-flight14.jpeg,desktop-kaikoura/kaikkoura-flight14.jpeg,28143690d73771732e8d0486d6fc7348,77.00,193.1,0.233,0.101,000001011011000111011110001010111100100010010001100010000011110010110011101011101011010110111111100100111110110000111001111010110111001110010111,vision-showcase,
09-Photography-Showcase,kaikkoura-flight16.jpeg,desktop-kaikoura/kaikkoura-flight16.jpeg,f155eb111d928ae96737af5aa3d996a6,72.20,215.8,0.136,0.135,001001100101000001001110000001011011000001111000100011110111001111001010100011011110100010110110011010011100000110001110100111001110110011001100,vision-showcase,
09-Photography-Showcase,kaikkoura-peninsula134.JPG,desktop-kaikoura/kaikkoura-peninsula134.JPG,f298a35933eb16a80be766fc3f7b21aa,50.92,527.2,0.183,0.001,111100000000111110100000110110000100110111000110110111100000110011110000111011110000111011111000111111110000111000000000110001110000000000101000,exact,
09-Photography-Showcase,kaikkoura-peninsula135.JPG,desktop-kaikoura/kaikkoura-peninsula135.JPG,48584c77043cfef21efdf61c5afde7e1,65.18,133.9,0.050,0.014,001110111000001110111000001010011100001110010110100010011110001010010101011000101001110111101011100110110011001100111100001100110100011000100111,exact,
09-Photography-Showcase,kaikkoura-peninsula138.JPG,desktop-kaikoura/kaikkoura-peninsula138.JPG,c631f32a7fd3d8ad456a6159f4d51cca,63.25,88.4,0.036,0.008,111111110001110111000010111111000100010100000000100100100101010001011011011110010000101100110100010001110101000011011000000110110100110011111001,exact,
